,Snow Depth,target,Temp,Precipitation,Precip Amount,Luftfuktighet
0,0.0,0.04,4.5,regn,0.0031000000000000003,79.065248381965
1,0.0,0.04,4.5,regn,0.0031000000000000003,79.065248381965
2,0.04,0.25,-1.0,snowfall,0.011300000000000001,79.065248381965
3,0.04,0.25,-1.0,snowfall,0.011300000000000001,79.065248381965
4,0.25,0.3,-3.5,snowfall,0.0185,79.065248381965
5,0.25,0.3,-3.5,snowfall,0.0185,79.065248381965
6,0.3,0.29,-7.8,none,0.0,79.065248381965
7,0.29,0.32,-9.2,snowfall,0.0073,79.065248381965
8,0.29,0.32,-9.2,snowfall,0.0073,79.065248381965
9,0.32,0.32,-1.1,snowfall,0.0015,79.065248381965
10,0.32,0.32,-1.1,snowfall,0.0015,79.065248381965
11,0.32,0.32,-6.5,none,0.0,79.065248381965
12,0.32,0.31,-12.8,none,0.0,79.065248381965
13,0.31,0.31,-7.9,none,0.0,79.065248381965
14,0.31,0.31,-9.4,snowfall,0.0002,79.065248381965
15,0.31,0.31,-9.4,snowfall,0.0002,79.065248381965
16,0.31,0.31,-14.5,none,0.0,79.065248381965
17,0.31,0.31,-6.6,none,0.0,79.065248381965
18,0.31,0.31,-2.6,none,0.0,79.065248381965
19,0.31,0.3,-3.2,none,0.0,79.065248381965
20,0.3,0.3,-4.0,none,0.0,79.065248381965
21,0.3,0.25,-2.0,none,0.0,79.065248381965
22,0.25,0.23,-2.4,none,0.0,79.065248381965
23,0.23,0.22,-3.0,snowfall,0.0009000000000000001,79.065248381965
24,0.23,0.22,-3.0,snowfall,0.0009000000000000001,79.065248381965
25,0.22,0.22,-2.5,snowfall,0.0014,79.065248381965
26,0.22,0.22,-2.5,snowfall,0.0014,79.065248381965
27,0.22,0.24,-3.4,snowfall,0.0019,79.065248381965
28,0.22,0.24,-3.4,snowfall,0.0019,79.065248381965
29,0.24,0.24,-3.0,snowfall,0.0008,79.065248381965
30,0.24,0.24,-3.0,snowfall,0.0008,79.065248381965
31,0.24,0.24,-4.5,snowfall,0.0002,79.065248381965
32,0.24,0.24,-4.5,snowfall,0.0002,79.065248381965
