iter	Passed	Remaining
0	2	2404
1	4	2237
2	6	2044
3	7	1986
4	9	1927
5	11	1880
6	13	1844
7	14	1845
8	16	1815
9	18	1788
10	19	1764
11	21	1749
12	22	1732
13	24	1720
14	26	1710
15	27	1705
16	29	1706
17	31	1703
18	32	1699
19	34	1690
20	36	1685
21	37	1678
22	39	1673
23	40	1664
24	42	1656
25	44	1650
26	45	1647
27	47	1644
28	48	1640
29	50	1633
30	52	1628
31	53	1623
32	55	1619
33	56	1615
34	58	1611
35	60	1608
36	61	1603
37	63	1603
38	64	1601
39	66	1599
40	68	1599
41	70	1601
42	71	1600
43	73	1600
44	75	1596
45	77	1597
46	78	1594
47	80	1591
48	81	1588
49	83	1586
50	85	1585
51	86	1584
52	88	1584
53	90	1590
54	92	1588
55	94	1585
56	96	1589
57	97	1585
58	99	1584
59	100	1580
60	102	1578
61	104	1577
62	105	1575
63	107	1573
64	109	1573
65	111	1571
66	112	1568
67	114	1567
68	116	1566
69	117	1564
70	119	1561
71	121	1560
72	122	1560
73	124	1559
74	126	1559
75	128	1564
76	130	1561
77	131	1559
78	133	1557
79	135	1555
80	136	1552
81	138	1550
82	140	1548
83	141	1547
84	143	1546
85	145	1545
86	147	1544
87	148	1543
88	150	1540
89	152	1538
90	153	1537
91	155	1535
92	157	1537
93	159	1536
94	161	1534
95	163	1535
96	164	1534
97	166	1533
98	168	1531
99	169	1529
100	171	1526
101	173	1524
102	174	1522
103	176	1519
104	178	1518
105	179	1516
106	181	1515
107	183	1513
108	185	1512
109	186	1510
110	188	1507
111	189	1506
112	191	1504
113	193	1501
114	194	1499
115	196	1497
116	198	1495
117	199	1492
118	201	1492
119	203	1490
120	204	1488
121	206	1485
122	208	1483
123	209	1480
124	211	1479
125	213	1478
126	214	1475
127	216	1473
128	217	1471
129	219	1469
130	221	1467
131	222	1466
132	224	1463
133	226	1461
134	227	1459
135	229	1457
136	231	1455
137	232	1453
138	234	1451
139	235	1449
140	237	1446
141	239	1445
142	240	1443
143	242	1441
144	244	1439
145	246	1439
146	247	1437
147	249	1435
148	251	1434
149	252	1433
150	254	1431
151	256	1430
152	257	1428
153	259	1426
154	261	1425
155	263	1423
156	264	1422
157	266	1421
158	268	1419
159	270	1418
160	271	1416
161	273	1414
162	275	1412
163	276	1410
164	278	1408
165	280	1406
166	281	1404
167	283	1403
168	284	1401
169	286	1399
170	288	1398
171	290	1396
172	291	1394
173	293	1392
174	295	1391
175	296	1389
176	298	1387
177	300	1385
178	301	1384
179	303	1383
180	305	1382
181	307	1380
182	308	1379
183	310	1377
184	312	1375
185	313	1373
186	315	1372
187	317	1370
188	319	1369
189	321	1368
190	323	1369
191	325	1368
192	326	1367
193	328	1366
194	330	1364
195	332	1362
196	334	1361
197	336	1363
198	338	1361
199	341	1366
200	344	1368
201	346	1366
202	347	1365
