
Från Datum Tid (UTC),Till Datum Tid (UTC),Representativt dygn,Nederbördsmängd,Kvalitet
2019-11-22 06:00:01,2019-11-23 06:00:00,2019-11-22,2.8,G
2019-11-23 06:00:01,2019-11-24 06:00:00,2019-11-23,1.4,G
2019-11-24 06:00:01,2019-11-25 06:00:00,2019-11-24,0.2,G
2019-11-25 06:00:01,2019-11-26 06:00:00,2019-11-25,0.4,G
2019-11-26 06:00:01,2019-11-27 06:00:00,2019-11-26,1.4,G
2019-11-27 06:00:01,2019-11-28 06:00:00,2019-11-27,2.7,G
2019-11-28 06:00:01,2019-11-29 06:00:00,2019-11-28,6.6,G
2019-11-30 06:00:01,2019-12-01 06:00:00,2019-11-30,0.0,G
2019-12-01 06:00:01,2019-12-02 06:00:00,2019-12-01,0.0,G
2019-12-02 06:00:01,2019-12-03 06:00:00,2019-12-02,0.0,G
2019-12-03 06:00:01,2019-12-04 06:00:00,2019-12-03,0.8,G
2019-12-04 06:00:01,2019-12-05 06:00:00,2019-12-04,0.0,G
2019-12-05 06:00:01,2019-12-06 06:00:00,2019-12-05,0.0,G
2019-12-06 06:00:01,2019-12-07 06:00:00,2019-12-06,0.0,G
2019-12-07 06:00:01,2019-12-08 06:00:00,2019-12-07,0.0,G
2019-12-08 06:00:01,2019-12-09 06:00:00,2019-12-08,7.8,G
2019-12-09 06:00:01,2019-12-10 06:00:00,2019-12-09,0.0,G
2019-12-10 06:00:01,2019-12-11 06:00:00,2019-12-10,2.6,G
2019-12-11 06:00:01,2019-12-12 06:00:00,2019-12-11,4.9,G
2019-12-12 06:00:01,2019-12-13 06:00:00,2019-12-12,8.6,G
2019-12-13 06:00:01,2019-12-14 06:00:00,2019-12-13,2.7,G
2019-12-14 06:00:01,2019-12-15 06:00:00,2019-12-14,14.2,G
2019-12-15 06:00:01,2019-12-16 06:00:00,2019-12-15,9.9,G
2019-12-16 06:00:01,2019-12-17 06:00:00,2019-12-16,0.0,G
2019-12-17 06:00:01,2019-12-18 06:00:00,2019-12-17,0.0,G
2019-12-18 06:00:01,2019-12-19 06:00:00,2019-12-18,0.0,G
